dataCompleta,dia,mes,nomeMes,ano,diaSemana
2026-01-01,1,1,Janeiro,2026,Quinta
2026-01-02,2,1,Janeiro,2026,Sexta
2026-01-03,3,1,Janeiro,2026,Sábado
2026-01-04,4,1,Janeiro,2026,Domingo
2026-01-05,5,1,Janeiro,2026,Segunda
2026-01-06,6,1,Janeiro,2026,Terça
2026-01-07,7,1,Janeiro,2026,Quarta
2026-01-08,8,1,Janeiro,2026,Quinta
2026-01-09,9,1,Janeiro,2026,Sexta
2026-01-10,10,1,Janeiro,2026,Sábado
2026-01-11,11,1,Janeiro,2026,Domingo
2026-01-12,12,1,Janeiro,2026,Segunda
2026-01-13,13,1,Janeiro,2026,Terça
2026-01-14,14,1,Janeiro,2026,Quarta
2026-01-15,15,1,Janeiro,2026,Quinta
2026-01-16,16,1,Janeiro,2026,Sexta
2026-01-17,17,1,Janeiro,2026,Sábado
2026-01-18,18,1,Janeiro,2026,Domingo
2026-01-19,19,1,Janeiro,2026,Segunda
2026-01-20,20,1,Janeiro,2026,Terça
2026-01-21,21,1,Janeiro,2026,Quarta
2026-01-22,22,1,Janeiro,2026,Quinta
2026-01-23,23,1,Janeiro,2026,Sexta
2026-01-24,24,1,Janeiro,2026,Sábado
2026-01-25,25,1,Janeiro,2026,Domingo
2026-01-26,26,1,Janeiro,2026,Segunda
2026-01-27,27,1,Janeiro,2026,Terça
2026-01-28,28,1,Janeiro,2026,Quarta
2026-01-29,29,1,Janeiro,2026,Quinta
2026-01-30,30,1,Janeiro,2026,Sexta
2026-01-31,31,1,Janeiro,2026,Sábado
2026-02-01,1,2,Fevereiro,2026,Domingo
2026-02-02,2,2,Fevereiro,2026,Segunda
2026-02-03,3,2,Fevereiro,2026,Terça
2026-02-04,4,2,Fevereiro,2026,Quarta
2026-02-05,5,2,Fevereiro,2026,Quinta
2026-02-06,6,2,Fevereiro,2026,Sexta
2026-02-07,7,2,Fevereiro,2026,Sábado
2026-02-08,8,2,Fevereiro,2026,Domingo
2026-02-09,9,2,Fevereiro,2026,Segunda
2026-02-10,10,2,Fevereiro,2026,Terça
2026-02-11,11,2,Fevereiro,2026,Quarta
2026-02-12,12,2,Fevereiro,2026,Quinta
2026-02-13,13,2,Fevereiro,2026,Sexta
2026-02-14,14,2,Fevereiro,2026,Sábado
2026-02-15,15,2,Fevereiro,2026,Domingo
2026-02-16,16,2,Fevereiro,2026,Segunda
2026-02-17,17,2,Fevereiro,2026,Terça
2026-02-18,18,2,Fevereiro,2026,Quarta
2026-02-19,19,2,Fevereiro,2026,Quinta
2026-02-20,20,2,Fevereiro,2026,Sexta
2026-02-21,21,2,Fevereiro,2026,Sábado
2026-02-22,22,2,Fevereiro,2026,Domingo
2026-02-23,23,2,Fevereiro,2026,Segunda
2026-02-24,24,2,Fevereiro,2026,Terça
2026-02-25,25,2,Fevereiro,2026,Quarta
2026-02-26,26,2,Fevereiro,2026,Quinta
2026-02-27,27,2,Fevereiro,2026,Sexta
2026-02-28,28,2,Fevereiro,2026,Sábado
2026-03-01,1,3,Março,2026,Domingo
2026-03-02,2,3,Março,2026,Segunda
2026-03-03,3,3,Março,2026,Terça
2026-03-04,4,3,Março,2026,Quarta
2026-03-05,5,3,Março,2026,Quinta
2026-03-06,6,3,Março,2026,Sexta
2026-03-07,7,3,Março,2026,Sábado
2026-03-08,8,3,Março,2026,Domingo
2026-03-09,9,3,Março,2026,Segunda
2026-03-10,10,3,Março,2026,Terça
2026-03-11,11,3,Março,2026,Quarta
2026-03-12,12,3,Março,2026,Quinta
2026-03-13,13,3,Março,2026,Sexta
2026-03-14,14,3,Março,2026,Sábado
2026-03-15,15,3,Março,2026,Domingo
2026-03-16,16,3,Março,2026,Segunda
2026-03-17,17,3,Março,2026,Terça
2026-03-18,18,3,Março,2026,Quarta
2026-03-19,19,3,Março,2026,Quinta
2026-03-20,20,3,Março,2026,Sexta
2026-03-21,21,3,Março,2026,Sábado
2026-03-22,22,3,Março,2026,Domingo
2026-03-23,23,3,Março,2026,Segunda
2026-03-24,24,3,Março,2026,Terça
2026-03-25,25,3,Março,2026,Quarta
2026-03-26,26,3,Março,2026,Quinta
2026-03-27,27,3,Março,2026,Sexta
2026-03-28,28,3,Março,2026,Sábado
2026-03-29,29,3,Março,2026,Domingo
2026-03-30,30,3,Março,2026,Segunda
2026-03-31,31,3,Março,2026,Terça
2026-04-01,1,4,Abril,2026,Quarta
2026-04-02,2,4,Abril,2026,Quinta
2026-04-03,3,4,Abril,2026,Sexta
2026-04-04,4,4,Abril,2026,Sábado
2026-04-05,5,4,Abril,2026,Domingo
2026-04-06,6,4,Abril,2026,Segunda
2026-04-07,7,4,Abril,2026,Terça
2026-04-08,8,4,Abril,2026,Quarta
2026-04-09,9,4,Abril,2026,Quinta
2026-04-10,10,4,Abril,2026,Sexta
2026-04-11,11,4,Abril,2026,Sábado
2026-04-12,12,4,Abril,2026,Domingo
2026-04-13,13,4,Abril,2026,Segunda
2026-04-14,14,4,Abril,2026,Terça
2026-04-15,15,4,Abril,2026,Quarta
2026-04-16,16,4,Abril,2026,Quinta
2026-04-17,17,4,Abril,2026,Sexta
2026-04-18,18,4,Abril,2026,Sábado
2026-04-19,19,4,Abril,2026,Domingo
2026-04-20,20,4,Abril,2026,Segunda
2026-04-21,21,4,Abril,2026,Terça
2026-04-22,22,4,Abril,2026,Quarta
2026-04-23,23,4,Abril,2026,Quinta
2026-04-24,24,4,Abril,2026,Sexta
2026-04-25,25,4,Abril,2026,Sábado
2026-04-26,26,4,Abril,2026,Domingo
2026-04-27,27,4,Abril,2026,Segunda
2026-04-28,28,4,Abril,2026,Terça
2026-04-29,29,4,Abril,2026,Quarta
2026-04-30,30,4,Abril,2026,Quinta
2026-05-01,1,5,Maio,2026,Sexta
2026-05-02,2,5,Maio,2026,Sábado
2026-05-03,3,5,Maio,2026,Domingo
2026-05-04,4,5,Maio,2026,Segunda
2026-05-05,5,5,Maio,2026,Terça
2026-05-06,6,5,Maio,2026,Quarta
2026-05-07,7,5,Maio,2026,Quinta
2026-05-08,8,5,Maio,2026,Sexta
2026-05-09,9,5,Maio,2026,Sábado
2026-05-10,10,5,Maio,2026,Domingo
2026-05-11,11,5,Maio,2026,Segunda
2026-05-12,12,5,Maio,2026,Terça
2026-05-13,13,5,Maio,2026,Quarta
2026-05-14,14,5,Maio,2026,Quinta
2026-05-15,15,5,Maio,2026,Sexta
2026-05-16,16,5,Maio,2026,Sábado
2026-05-17,17,5,Maio,2026,Domingo
2026-05-18,18,5,Maio,2026,Segunda
2026-05-19,19,5,Maio,2026,Terça
2026-05-20,20,5,Maio,2026,Quarta
2026-05-21,21,5,Maio,2026,Quinta
2026-05-22,22,5,Maio,2026,Sexta
2026-05-23,23,5,Maio,2026,Sábado
2026-05-24,24,5,Maio,2026,Domingo
2026-05-25,25,5,Maio,2026,Segunda
2026-05-26,26,5,Maio,2026,Terça
2026-05-27,27,5,Maio,2026,Quarta
2026-05-28,28,5,Maio,2026,Quinta
2026-05-29,29,5,Maio,2026,Sexta
2026-05-30,30,5,Maio,2026,Sábado
2026-05-31,31,5,Maio,2026,Domingo
2026-06-01,1,6,Junho,2026,Segunda
2026-06-02,2,6,Junho,2026,Terça
2026-06-03,3,6,Junho,2026,Quarta
2026-06-04,4,6,Junho,2026,Quinta
2026-06-05,5,6,Junho,2026,Sexta
2026-06-06,6,6,Junho,2026,Sábado
