id_venda,data,id_cliente,id_vendedor,id_formapag,id_produto,quantidadeVendida,desconto,custoTotal,valorVendaBruta
1,2026-03-13,39,3,3,17,3,0.04,196.35000000000002,343.6125
2,2026-06-17,52,2,1,5,4,0.02,617.0,894.65
3,2026-04-14,96,1,3,22,1,0.01,7.45,13.0375
4,2026-02-27,8,1,2,3,4,0.05,300.96,436.39199999999994
5,2026-03-14,56,2,4,31,1,0.04,10.25,17.9375
6,2026-03-07,93,3,1,18,3,0.05,231.95999999999998,405.93
7,2026-02-13,17,2,1,27,2,0.02,15.98,27.965
8,2026-06-06,21,1,2,22,3,0.05,22.35,39.1125
9,2026-04-10,57,2,2,25,2,0.04,25.3,44.275
10,2026-07-01,25,3,2,29,2,0.01,17.04,29.82
11,2026-06-30,4,2,1,1,1,0.03,40.11,58.159499999999994
12,2026-01-09,56,2,4,10,4,0.0,13.4,23.45
13,2026-03-18,71,2,4,20,1,0.03,4.75,8.3125
14,2026-05-26,86,3,4,12,1,0.0,6.58,11.515
15,2026-03-21,51,3,4,21,1,0.03,2.25,3.9375
16,2026-04-02,64,3,4,10,1,0.04,3.35,5.8625
17,2026-04-04,29,1,3,21,1,0.0,2.25,3.9375
18,2026-03-06,59,2,1,19,2,0.05,9.08,15.89
19,2026-04-30,76,1,4,16,1,0.05,54.15,94.7625
20,2026-06-06,11,1,2,14,2,0.04,16.9,29.574999999999996
21,2026-02-11,7,2,1,17,2,0.02,130.9,229.07500000000002
22,2026-07-02,82,2,4,14,4,0.04,33.8,59.14999999999999
23,2026-02-13,36,3,1,4,3,0.01,286.04999999999995,414.7725
24,2026-04-24,69,2,2,4,1,0.03,95.35,138.2575
25,2026-01-05,12,1,3,17,1,0.04,65.45,114.53750000000001
26,2026-05-05,58,1,2,13,3,0.03,16.259999999999998,28.455
27,2026-06-30,23,3,3,24,1,0.02,12.45,21.787499999999998
28,2026-08-22,44,2,1,34,4,0.03,39.56,69.23
29,2026-08-06,51,3,3,25,1,0.03,12.65,22.1375
30,2026-03-12,47,3,4,15,1,0.02,11.58,20.265
31,2026-06-02,75,1,2,21,4,0.0,9.0,15.75
32,2026-05-08,76,3,4,34,1,0.02,9.89,17.3075
33,2026-02-24,31,2,3,26,4,0.01,55.0,96.25
34,2026-03-16,94,1,1,22,2,0.01,14.9,26.075
35,2026-04-21,63,1,4,5,4,0.01,617.0,894.65
36,2026-01-19,76,2,2,6,3,0.03,4.62,6.699
37,2026-05-25,62,3,3,13,4,0.0,21.68,37.94
38,2026-03-13,16,2,2,18,1,0.03,77.32,135.31
39,2026-03-25,28,2,3,6,3,0.03,4.62,6.699
40,2026-01-05,4,2,2,1,1,0.01,40.11,58.159499999999994
41,2026-06-13,18,1,4,7,1,0.03,14.5,21.025
42,2026-01-29,47,2,2,16,3,0.0,162.45,284.2875
43,2026-04-16,31,1,1,15,1,0.04,11.58,20.265
44,2026-04-01,39,2,3,20,1,0.04,4.75,8.3125
45,2026-04-21,48,3,3,26,1,0.03,13.75,24.0625
46,2026-02-18,75,3,2,13,2,0.03,10.84,18.97
47,2026-03-02,49,1,3,20,3,0.05,14.25,24.9375
48,2026-08-22,53,1,4,11,4,0.0,23.0,40.25
49,2026-06-29,69,2,2,33,2,0.01,22.5,39.375
50,2026-05-20,38,3,3,9,4,0.03,8.6,15.049999999999999
51,2026-04-27,69,3,4,33,3,0.03,33.75,59.0625
52,2026-04-16,37,3,2,17,1,0.03,65.45,114.53750000000001
53,2026-01-30,59,3,3,31,4,0.04,41.0,71.75
54,2026-03-17,28,2,4,7,3,0.01,43.5,63.074999999999996
55,2026-05-07,95,1,1,34,4,0.02,39.56,69.23
56,2026-07-29,21,1,1,28,1,0.01,7.52,13.16
57,2026-02-23,91,1,1,8,2,0.05,4.5,6.5249999999999995
58,2026-05-15,5,2,1,9,4,0.03,8.6,15.049999999999999
59,2026-04-30,35,2,1,28,1,0.03,7.52,13.16
60,2026-02-12,92,3,2,27,1,0.0,7.99,13.9825
61,2026-02-09,70,3,2,15,4,0.02,46.32,81.06
62,2026-04-06,39,3,3,19,4,0.01,18.16,31.78
63,2026-02-10,74,2,1,21,1,0.05,2.25,3.9375
64,2026-04-06,15,2,2,23,2,0.01,31.18,54.565
65,2026-05-05,2,2,3,26,3,0.04,41.25,72.1875
66,2026-07-27,25,2,2,14,3,0.03,25.349999999999998,44.3625
67,2026-07-13,92,1,4,21,1,0.0,2.25,3.9375
68,2026-05-23,34,3,2,29,4,0.01,34.08,59.64
69,2026-02-02,78,1,4,1,1,0.05,40.11,58.159499999999994
70,2026-07-23,9,3,1,26,1,0.0,13.75,24.0625
71,2026-02-16,42,2,3,28,2,0.02,15.04,26.32
72,2026-06-15,41,2,1,28,4,0.04,30.08,52.64
73,2026-05-15,56,2,3,21,4,0.02,9.0,15.75
74,2026-03-04,96,1,2,7,1,0.04,14.5,21.025
75,2026-07-20,68,2,2,19,2,0.02,9.08,15.89
76,2026-08-29,82,3,1,24,1,0.03,12.45,21.787499999999998
77,2026-03-21,69,3,2,29,1,0.01,8.52,14.91
78,2026-07-17,35,2,4,3,4,0.03,300.96,436.39199999999994
79,2026-07-03,10,1,3,6,1,0.03,1.54,2.233
80,2026-02-07,44,2,2,14,1,0.02,8.45,14.787499999999998
81,2026-01-14,75,2,2,28,1,0.02,7.52,13.16
82,2026-05-04,58,3,2,20,2,0.02,9.5,16.625
83,2026-05-08,53,2,4,18,4,0.01,309.28,541.24
84,2026-03-05,75,3,1,1,4,0.01,160.44,232.63799999999998
85,2026-04-10,28,1,3,12,3,0.04,19.740000000000002,34.545
86,2026-03-27,3,1,1,12,3,0.01,19.740000000000002,34.545
87,2026-06-23,3,3,3,20,1,0.0,4.75,8.3125
88,2026-01-12,70,1,2,18,2,0.05,154.64,270.62
89,2026-02-18,22,1,4,10,3,0.03,10.05,17.5875
90,2026-01-22,16,3,3,4,3,0.01,286.04999999999995,414.7725
91,2026-01-14,43,3,2,6,1,0.04,1.54,2.233
92,2026-08-08,20,3,4,22,3,0.01,22.35,39.1125
93,2026-01-12,32,1,4,1,4,0.03,160.44,232.63799999999998
94,2026-02-19,18,2,1,29,3,0.01,25.56,44.730000000000004
95,2026-01-16,45,3,2,7,1,0.03,14.5,21.025
96,2026-02-26,4,1,3,4,2,0.05,190.7,276.515
97,2026-04-06,31,3,1,9,4,0.03,8.6,15.049999999999999
98,2026-03-16,85,3,2,5,4,0.01,617.0,894.65
99,2026-02-23,15,1,1,21,1,0.03,2.25,3.9375
100,2026-07-23,49,1,3,17,2,0.01,130.9,229.07500000000002
101,2026-02-02,47,1,4,33,1,0.0,11.25,19.6875
102,2026-08-20,21,1,1,9,1,0.0,2.15,3.7624999999999997
103,2026-01-14,67,2,3,6,4,0.04,6.16,8.932
104,2026-05-14,55,3,1,25,3,0.01,37.95,66.4125
105,2026-05-30,54,3,4,33,1,0.01,11.25,19.6875
106,2026-06-04,67,1,3,11,2,0.04,11.5,20.125
107,2026-08-18,39,2,1,19,1,0.02,4.54,7.945
108,2026-03-10,44,3,2,31,4,0.04,41.0,71.75
109,2026-07-16,24,1,2,32,4,0.01,49.88,87.29
110,2026-05-07,43,3,2,10,3,0.01,10.05,17.5875
111,2026-03-16,7,3,1,33,3,0.04,33.75,59.0625
112,2026-03-12,54,2,2,4,4,0.04,381.4,553.03
113,2026-08-18,94,2,2,15,3,0.05,34.74,60.795
114,2026-04-30,85,3,2,4,3,0.03,286.04999999999995,414.7725
115,2026-05-08,53,3,2,29,2,0.04,17.04,29.82
116,2026-05-09,81,3,3,10,4,0.02,13.4,23.45
117,2026-02-13,63,3,1,19,2,0.02,9.08,15.89
118,2026-02-20,69,3,1,32,3,0.03,37.410000000000004,65.4675
119,2026-07-04,46,2,3,6,2,0.05,3.08,4.466
120,2026-08-26,12,2,4,7,2,0.04,29.0,42.05
121,2026-01-10,36,1,1,30,1,0.0,16.45,28.787499999999998
122,2026-06-04,96,3,1,14,3,0.01,25.349999999999998,44.3625
123,2026-07-14,34,1,3,31,3,0.04,30.75,53.8125
124,2026-04-13,46,2,1,30,1,0.04,16.45,28.787499999999998
125,2026-01-09,8,1,3,20,1,0.04,4.75,8.3125
126,2026-06-03,14,3,2,13,1,0.03,5.42,9.485
127,2026-06-04,21,2,3,26,3,0.03,41.25,72.1875
